2006d209_20h39m13s_Cont_mike_PKS2155-304.csv
This .csv file was written on, 2006-08-01, 13:48:51
Object, PKS2155-304 

System Data:
Centfreq, 12218.000000 
Bandwdth, 400.000000 
Focus, 7.890625 
Instrume, Total Power 

Calibration Data:
Tcal1, 13.300000 
Tcal2, 15.200000 
Hzperk1, 6292.328374 
Hzperk2, 5764.255743 
Hzkerr1, 0.808053 
Hzkerr2, 0.930089 
Tsys1, 98.062331 
Tsys2, 98.293136 
Tsyserr1, 0.106484 
Tsyserr2, 0.102435 
MJD_cent taken from center of on source scan is, 53944.858216
RA_cent taken from center of on source scan is, 329.823420
RA_mean averaged over center scan is, 329.824423
Dec Apparent 1st scan, -30.164918
Dec Apparent 2nd scan, -30.194786
Dec Apparent 3rd scan, nan
Hour Angle 1st scan, -47.417424
Hour Angle 2nd scan, -46.813748
Hour Angle 3rd scan, -46.206454

RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl,RA_apprn,LHC_Pl,RHC_Pl
-0.161984,0.127190,0.154028,-0.161073,0.005962,0.047727,-0.162200,-0.043722,0.149689
-0.161650,0.083468,0.184399,-0.160738,0.063595,0.080268,-0.161865,0.073532,0.097623
-0.161315,0.141101,0.175722,-0.160404,-0.017886,0.026033,-0.161531,0.023848,0.104131
-0.160982,0.131165,0.225618,-0.160070,-0.039747,0.010847,-0.161197,-0.001987,0.088946
-0.160647,0.123215,0.134503,-0.159736,-0.007949,-0.008678,-0.160863,0.021861,0.060743
-0.160313,0.101354,0.171383,-0.159401,-0.035772,0.039049,-0.160528,0.035772,0.149689
-0.159979,0.135139,0.164875,-0.159067,0.023848,0.023863,-0.160194,0.021861,0.088946
-0.159645,0.119240,0.160536,-0.158733,-0.021861,0.008678,-0.159860,0.065582,0.019525
-0.159310,0.119240,0.125825,-0.158398,-0.063595,0.032541,-0.159526,0.005962,0.097623
-0.158976,0.107316,0.188738,-0.158064,0.021861,0.032541,-0.159191,0.051671,0.086776
-0.158642,0.129177,0.156197,-0.157730,0.000000,0.034710,-0.158856,0.033785,0.082437
-0.158308,0.135139,0.214771,-0.157396,-0.051671,0.043388,-0.158523,0.037759,0.123656
-0.157973,0.139114,0.214771,-0.157061,0.003975,0.071590,-0.158189,0.039747,0.106301
-0.157639,0.127190,0.149689,-0.156727,0.001987,-0.008678,-0.157854,-0.015899,0.075929
-0.157305,0.119240,0.173552,-0.157081,0.009937,0.021694,-0.157520,-0.001987,0.121487
-0.156971,0.178861,0.216940,-0.156059,-0.049684,0.021694,-0.157186,0.021861,0.043388
-0.156637,0.157000,0.186569,-0.155724,-0.035772,0.008678,-0.156852,0.061608,0.119317
-0.156302,0.151038,0.175722,-0.156078,-0.021861,-0.023863,-0.156517,0.043722,0.114978
-0.155968,0.105329,0.136672,-0.155744,-0.023848,0.019525,-0.156183,-0.011924,0.132334
-0.155634,0.143089,0.182230,-0.155409,-0.013911,0.023863,-0.155849,-0.003975,0.182230
-0.155299,0.147063,0.255990,-0.154387,-0.003975,0.052066,-0.155515,0.023848,0.082437
-0.154965,0.135139,0.193077,-0.154741,-0.007949,-0.004339,-0.155180,0.027823,0.136672
-0.154631,0.143089,0.175722,-0.154407,0.005962,0.008678,-0.154846,0.055646,0.175722
-0.154297,0.145076,0.193077,-0.154072,-0.009937,-0.026033,-0.154512,0.031797,0.110640
-0.153963,0.135139,0.173552,-0.153737,0.041734,-0.008678,-0.154178,-0.000000,0.169214
