2006d208_11h08m04s_Cont_sarah_HYDRA_A.csv
This .csv file was written on, 2007-10-03, 10:23:24
Object, HYDRA A 

-0.530401,0.052964,0.108149
-0.530067,-0.051472,0.270919
-0.529733,-0.007460,-0.089578
-0.529398,0.058932,0.111426
-0.529064,-0.007460,0.065545
-0.528730,0.056694,-0.013109
-0.528396,0.038045,0.131090
-0.528061,0.017903,0.097225
-0.527727,-0.041775,0.077562
-0.527393,0.060424,-0.025126
-0.527059,-0.014174,0.097225
-0.526724,0.078328,0.019663
-0.526390,0.055948,0.028403
-0.526056,-0.003730,0.022941
-0.525722,0.025363,-0.024033
-0.525387,0.032823,0.098317
-0.525053,0.026109,0.112519
-0.524719,-0.008206,0.028403
-0.524385,0.020141,0.119073
-0.524051,0.046997,0.116889
-0.523716,0.082058,0.078654
-0.523382,0.076836,0.119073
-0.523048,0.049235,0.180249
-0.522714,-0.029839,0.171509
-0.522379,0.045505,0.088486
-0.522045,0.127562,0.020756
-0.521711,0.067884,0.091763
-0.521377,0.072360,0.112519
-0.521043,-0.005222,0.122351
-0.520708,-0.005968,0.027310
-0.520374,-0.054456,0.097225
-0.520040,0.017903,0.087393
-0.519706,0.061916,0.114704
-0.519371,0.007460,0.131090
-0.519037,0.018649,0.013109
-0.518703,-0.044759,0.069915
-0.518369,-0.016412,0.004370
-0.518034,-0.023125,0.043697
-0.517700,-0.009698,0.104872
-0.517366,0.029839,0.096133
-0.517032,0.098469,0.064453
-0.516698,0.012682,0.045881
-0.516363,-0.043267,0.061175
-0.516029,0.020141,0.060083
-0.515695,-0.005968,0.090671
-0.515361,0.030585,0.163862
-0.515026,-0.038791,0.103780
-0.514692,-0.021633,-0.003277
-0.515045,-0.029839,0.110334
-0.514024,-0.076090,0.158400
-0.513689,0.029093,-0.032772
-0.514043,0.071614,0.105964
-0.513021,0.042521,0.048066
-0.513374,0.019395,0.137644
-0.512352,0.064900,0.052436
-0.512706,0.058932,0.241424
-0.512371,0.019395,0.104872
-0.512037,0.082804,-0.049159
-0.511703,0.057440,0.172602
-0.511369,0.024617,0.182434
-0.511034,0.117864,0.108149
-0.510700,0.016412,0.032772
-0.509679,0.049235,0.063360
-0.510032,0.049235,0.154031
-0.509697,0.017903,0.091763
-0.509363,0.023871,0.154031
-0.509029,0.027601,0.129998
-0.508695,0.093247,0.064453
-0.508361,0.127562,0.117981
-0.508026,0.006714,0.004370
-0.507692,0.017903,0.134367
-0.507358,0.082058,0.119073
-0.507024,0.007460,0.185711
-0.506690,0.072360,0.146384
-0.506355,0.083550,0.186803
-0.506021,0.028347,0.148569
-0.505687,0.071614,0.218483
-0.505353,0.120102,0.239239
-0.505018,0.044759,0.148569
-0.504684,0.104437,0.087393
-0.504350,0.050726,0.170417
-0.504016,0.066392,0.178064
-0.503681,0.024617,0.267642
-0.503347,0.091009,0.274197
-0.503013,0.061916,0.223945
-0.502679,0.093993,0.100502
-0.502344,0.100707,0.203189
-0.502010,0.130546,0.102687
-0.501676,0.093247,0.138737
-0.501342,0.041775,0.201005
-0.501008,0.120848,0.254533
-0.500673,0.104437,0.181341
-0.500339,0.111897,0.140922
-0.500005,0.051472,0.179156
-0.499671,0.107421,0.163862
-0.499336,0.002238,0.156216
-0.499002,0.079074,0.105964
-0.498668,0.067884,0.149661
-0.498334,0.073852,0.155123
-0.498000,0.021633,0.241424
-0.497665,0.091755,0.158400
-0.497331,0.067138,0.179156
-0.496997,-0.027601,0.231592
-0.496663,0.113389,0.225038
-0.496329,0.009698,0.171509
-0.495994,0.110405,0.192265
-0.495660,0.071614,0.215206
-0.495326,0.025363,0.230500
-0.494992,0.117864,0.101595
-0.494657,0.111151,0.088486
-0.494323,0.068630,0.197727
-0.493989,0.099961,0.110334
-0.493655,0.019395,0.335372
-0.493320,0.049981,0.173694
-0.492986,0.111151,0.291675
-0.492652,0.074598,0.140922
-0.492318,0.170083,0.051344
-0.491983,0.146212,0.180249
-0.491649,-0.009698,0.162770
-0.491315,0.014174,0.158400
-0.490981,0.038045,0.193358
-0.490647,0.063408,0.205374
-0.490312,0.060424,0.226130
-0.489978,0.125324,0.117981
-0.489644,0.091755,0.146384
-0.489310,0.029093,0.139829
-0.488975,0.023871,0.149661
-0.488641,0.106675,0.168232
-0.488307,0.129800,0.244701
-0.487973,0.103691,0.174787
-0.487638,0.074598,0.240332
-0.487304,0.155163,0.335372
-0.486970,0.055948,0.187896
-0.486636,0.140244,0.291675
-0.486301,0.126070,0.196635
-0.485967,0.112643,0.206467
-0.485633,0.054456,0.234870
-0.485299,0.103691,0.214114
